category,region,distance,time_required,level,course_name,point_number,point_name,long_,lat_
생태문화길,용산구중구,1.88km,1시간,1,한남매봉공원 산책길,881,매봉산공원,127.0091869,37.54061541
생태문화길,용산구중구,1.88km,1시간,1,한남매봉공원 산책길,882,힐사이드 아파트,127.006147,37.54301808
생태문화길,용산구중구,1.88km,1시간,1,한남매봉공원 산책길,883,남산공원길,127.0032614,37.54824301
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1311,영동대교 인근,127.0590538,37.53271703
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1310,서울숲 인근,127.0362782,37.53973948
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1309,서울숲 인근,127.0288166,37.54168607
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1308,응봉역 지하철 중앙선,127.0342476,37.54980178
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1307,옥수역 인근,127.0192023,37.54075734
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1306,옥수역 지하철 중앙선,127.0185835,37.54030996
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1320,고구려대장간마을 버스정류장,127.114976,37.56363305
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1319,강변역 지하철 2호선,127.0949809,37.53467968
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1318,쉐라톤워커힐호텔 인근,127.1132846,37.55618461
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1317,올림픽대교 강변북로 인근,127.1040527,37.5405845
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1316,동서울터미널 인근,127.0954514,37.53326717
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1315,뚝섬유원지 잠실대교 인근,127.0811871,37.52685491
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1314,뚝섬유원지 인근,127.0662474,37.53048509
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1313,뚝섬유원지,127.069428,37.52914493
한강지천길/계절길,광진구성동구,12.84Km,4시간,1,성동광진구한강길,1312,뚝섬유원지역 지하철 7호선,127.0664605,37.53111333
생태문화길,광진구성동구,1.89km,2시간,1,어린이대공원 산책길,874,어린이대공원 후문,127.0835874,37.55035203
생태문화길,광진구성동구,1.89km,2시간,1,어린이대공원 산책길,878,물놀이장,127.0803517,37.54746772
생태문화길,광진구성동구,1.89km,2시간,1,어린이대공원 산책길,877,전래동화마을,127.0777649,37.54849256
생태문화길,광진구성동구,1.89km,2시간,1,어린이대공원 산책길,873,지하철정류장(아차산역4번출입구),127.0895893,37.55195165
생태문화길,광진구성동구,1.89km,2시간,1,어린이대공원 산책길,872,지하철정류장(어린이대공원역6번출입구),127.0750374,37.54886853
생태문화길,광진구성동구,1.89km,2시간,1,어린이대공원 산책길,876,음악분수,127.0778715,37.54953597
생태문화길,광진구성동구,1.89km,2시간,1,어린이대공원 산책길,875,모험의 나라 놀이터,127.0808967,37.55173336
생태문화길,광진구성동구,2.78km,3시간,3,아차산 숲 나들길,871,오동나무 자생지,127.1038868,37.55241329
생태문화길,광진구성동구,2.78km,3시간,3,아차산 숲 나들길,869,아차산성,127.103116,37.55443826
생태문화길,광진구성동구,2.78km,3시간,3,아차산 숲 나들길,868,소나무림,127.1019403,37.553456
생태문화길,광진구성동구,2.78km,3시간,3,아차산 숲 나들길,867,만남의 광장,127.0998894,37.55214954
생태문화길,광진구성동구,2.78km,3시간,3,아차산 숲 나들길,866,동의초등학교,127.0973974,37.55346231
생태문화길,광진구성동구,2.78km,3시간,3,아차산 숲 나들길,870,아차산성 유원지,127.103542,37.55273511
생태문화길,광진구성동구,2.93㎞,1시간30분,1,성동 송정둑길,948,살곶이다리,127.0466222,37.55313649
생태문화길,광진구성동구,2.93㎞,1시간30분,1,성동 송정둑길,946,장안철교,127.0522753,37.55119686
생태문화길,광진구성동구,2.93㎞,1시간30분,1,성동 송정둑길,945,송정둑 둑길 시작,127.0699261,37.55621075
생태문화길,광진구성동구,2.93㎞,1시간30분,1,성동 송정둑길,944,벚꽃터널,127.0726836,37.5594132
생태문화길,광진구성동구,2.93㎞,1시간30분,1,성동 송정둑길,865,지하철정류장(군자역8번출입구),127.0795442,37.55711668
생태문화길,광진구성동구,2.93㎞,1시간30분,1,성동 송정둑길,949,지하철 2호선 한양대역 3번 출구,127.0437417,37.55432615
생태문화길,광진구성동구,2.93㎞,1시간30분,1,성동 송정둑길,947,살곶이다리 터널,127.0483351,37.5518971
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,855,서울숲 4번 출입구,127.0418028,37.54644187
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,857,숲속길,127.037386,37.5453384
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,858,서울 숲 9번 출구,127.0374534,37.54438275
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,859,뚝섬가족마당,127.0387649,37.54523085
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,860,사색의길,127.0404432,37.54556476
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,861,겨울연못,127.0414543,37.54403856
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,852,지하철정류장(서울숲역3번출입구),127.0445198,37.54340122
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,864,바람의 언덕,127.034847,37.54395508
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,863,서울숲 11번 출구,127.0355816,37.54351806
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,862,야외무대,127.0412758,37.54358201
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,853,한강시민공원뚝섬지구입구,127.0315706,37.54111089
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,854,서울숲 5번 출입구,127.0393996,37.54711528
생태문화길,광진구성동구,5.22km,2시간,1,서울숲 공원 산책길,856,서울 숲 2번 출구,127.0428058,37.54392806
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,851,서울성곽길,127.0044447,37.55316688
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,848,금호산,127.0178967,37.55266846
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,847,호당공원,127.0217379,37.55494096
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,846,독서당공원,127.0273895,37.55380907
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,845,생태통로,127.0291832,37.54923746
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,844,응봉공원,127.0299601,37.54778239
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,843,용비교,127.0318565,37.5456788
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,842,서울 숲 3번 출입구,127.0427641,37.54492044
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,841,지하철정류장(서울숲역3번출입구),127.0443194,37.54288299
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,840,지하철정류장(뚝섬역8번출입구),127.04624,37.54740374
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,849,매봉산,127.0081543,37.54478598
